#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_133129_cov_71.626923:76408-78417|- -            670 599                  -            663         0 1450.9   3.2   1   1         0         0 1450.7   3.2     1   663     1   669     1   669 0.99 NODE_6_length_133129_cov_71.626923_69 # 76408 # 78417 # -1 # ID=6_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_20_length_58283_cov_65.610712:54467-57112|- -            882 599                  -            663   1.3e-24   84.2   0.4   1   2   1.7e-14   9.1e-12   41.7   0.1     8   125    42   177    36   201 0.79 NODE_20_length_58283_cov_65.610712_59 # 54467 # 57112 # -1 # ID=20_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_20_length_58283_cov_65.610712:54467-57112|- -            882 599                  -            663   1.3e-24   84.2   0.4   2   2   4.1e-14   2.2e-11   40.5   0.0   237   486   450   698   440   732 0.79 NODE_20_length_58283_cov_65.610712_59 # 54467 # 57112 # -1 # ID=20_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 599                  -            663   1.5e-24   84.0   2.3   1   2   7.4e-16   3.9e-13   46.3   0.0     3   195    29   216    28   241 0.85 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 599                  -            663   1.5e-24   84.0   2.3   2   2   2.9e-12   1.5e-09   34.4   1.3   257   392   516   665   508   693 0.67 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_11_length_94214_cov_54.858857:67893-70691|+ -            933 599                  -            663   2.4e-14   50.3   0.5   1   2   2.3e-10   1.2e-07   28.1   0.0    14   142    57   199    45   222 0.77 NODE_11_length_94214_cov_54.858857_70 # 67893 # 70691 # 1 # ID=11_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_11_length_94214_cov_54.858857:67893-70691|+ -            933 599                  -            663   2.4e-14   50.3   0.5   2   2   7.3e-08   3.8e-05   19.8   0.3   294   490   577   774   522   803 0.68 NODE_11_length_94214_cov_54.858857_70 # 67893 # 70691 # 1 # ID=11_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_12_length_79680_cov_63.087599:6861-8273|-   -            471 599                  -            663   1.4e-07   27.9   2.6   1   3   4.1e-10   2.1e-07   27.3   0.2     7   128    25   143    20   162 0.80 NODE_12_length_79680_cov_63.087599_10 # 6861 # 8273 # -1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_12_length_79680_cov_63.087599:6861-8273|-   -            471 599                  -            663   1.4e-07   27.9   2.6   2   3     0.081        43   -0.1   0.0   306   336   267   297   255   306 0.82 NODE_12_length_79680_cov_63.087599_10 # 6861 # 8273 # -1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_12_length_79680_cov_63.087599:6861-8273|-   -            471 599                  -            663   1.4e-07   27.9   2.6   3   3      0.79   4.1e+02   -3.4   0.1   399   440   348   390   334   400 0.69 NODE_12_length_79680_cov_63.087599_10 # 6861 # 8273 # -1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_1_length_304474_cov_63.252055:96333-98753|+ -            807 599                  -            663   0.00017   17.7   0.2   1   2   7.7e-07    0.0004   16.5   0.1   567   647    46   129    25   143 0.81 NODE_1_length_304474_cov_63.252055_91 # 96333 # 98753 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_1_length_304474_cov_63.252055:96333-98753|+ -            807 599                  -            663   0.00017   17.7   0.2   2   2      0.54   2.8e+02   -2.8   0.0   510   526   149   165   145   171 0.84 NODE_1_length_304474_cov_63.252055_91 # 96333 # 98753 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.392
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/599at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/599at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/599at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:11:59 2026
# [ok]
